id,restaurant_name,category,esimated_cooking_time,latitude,longitude
R_99069,Restaurant DI,BUBBLE TEA,41.0,13.79545,100.602988
R_99055,Restaurant DJ,BUBBLE TEA,34.0,13.666338,100.504385
R_99054,Restaurant DK,BUBBLE TEA,35.0,13.708526,100.366874
R_99052,Restaurant DL,BUBBLE TEA,32.0,13.766031,100.569983
R_99050,Restaurant DM,BUBBLE TEA,63.0,13.650112,100.596566
R_99015,Restaurant DN,BUBBLE TEA,65.0,13.75620435,100.5392554
R_99013,Restaurant DO,BUBBLE TEA,67.0,13.838991,100.549643
R_99012,Restaurant DP,BUBBLE TEA,31.0,13.61539257,100.6553244
R_98995,Restaurant DQ,BUBBLE TEA,60.0,13.694171,100.64811
R_98993,Restaurant DR,BUBBLE TEA,63.0,13.83443034,100.6660621
R_98991,Restaurant DS,BUBBLE TEA,45.0,13.677934,100.642896
R_98990,Restaurant DT,BUBBLE TEA,63.0,13.684573,100.624633
R_98972,Restaurant DU,BUBBLE TEA,68.0,13.742608,100.541799
R_98968,Restaurant DV,BUBBLE TEA,44.0,13.79673274,100.5905802
R_98955,Restaurant DW,BUBBLE TEA,65.0,13.74624522,100.5328292
R_98951,Restaurant DX,BUBBLE TEA,36.0,13.8807548,100.6513703
R_98942,Restaurant DY,BUBBLE TEA,59.0,13.794826,100.710305
R_98934,Restaurant DZ,BUBBLE TEA,50.0,13.728365,100.53438
R_98929,Restaurant EA,BUBBLE TEA,44.0,13.6326219,100.7108522
R_98908,Restaurant EB,BUBBLE TEA,36.0,13.758935,100.537433
R_98883,Restaurant EC,BUBBLE TEA,51.0,13.7545094,100.7174502
R_98874,Restaurant ED,BUBBLE TEA,33.0,13.73466069,100.6445698
R_98872,Restaurant EE,BUBBLE TEA,66.0,13.84463046,100.5723329
R_98858,Restaurant EF,BUBBLE TEA,65.0,13.719282,100.506795
R_98855,Restaurant EG,BUBBLE TEA,49.0,13.711729,100.594716
R_98850,Restaurant EH,BUBBLE TEA,58.0,13.76062481,100.4786356
R_98842,Restaurant EI,BUBBLE TEA,40.0,13.72346902,100.5648531
R_98840,Restaurant EJ,BUBBLE TEA,64.0,13.95669155,100.6216756
R_98836,Restaurant EK,BUBBLE TEA,36.0,13.765639,100.546068
R_98831,Restaurant EL,BUBBLE TEA,32.0,13.848142,100.567349
R_98830,Restaurant EM,BUBBLE TEA,60.0,13.814201,100.644035
R_98826,Restaurant EN,BUBBLE TEA,54.0,13.72633951,100.4062149
R_98822,Restaurant EO,BUBBLE TEA,37.0,13.805831,100.574706
R_98820,Restaurant EP,BUBBLE TEA,41.0,13.704763,100.50194
R_98816,Restaurant EQ,BUBBLE TEA,57.0,13.729597,100.570664
R_98814,Restaurant ER,BUBBLE TEA,67.0,13.76031544,100.6215621
R_98813,Restaurant ES,BUBBLE TEA,40.0,13.760683,100.470889
R_98805,Restaurant ET,BUBBLE TEA,49.0,13.75830755,100.5661448
R_98802,Restaurant EU,BUBBLE TEA,56.0,13.79312832,100.5492936
R_98798,Restaurant EV,BUBBLE TEA,33.0,13.8809496,100.5100767
R_98797,Restaurant EW,BUBBLE TEA,62.0,13.73151563,100.465166
R_98788,Restaurant EX,BUBBLE TEA,43.0,14.0652457,100.6427644
R_98785,Restaurant EY,BUBBLE TEA,58.0,13.70598909,100.5431515
R_98774,Restaurant EZ,BUBBLE TEA,56.0,13.78021495,100.5773281
R_98771,Restaurant FA,BUBBLE TEA,52.0,13.711832,100.433802
R_98770,Restaurant FB,BUBBLE TEA,54.0,13.753746,100.623159
R_98759,Restaurant FC,BUBBLE TEA,48.0,13.871692,100.516979
R_98745,Restaurant FD,BUBBLE TEA,55.0,13.76966998,100.4960847
R_98737,Restaurant FE,BUBBLE TEA,65.0,13.72493671,100.5230218
R_98713,Restaurant FF,BUBBLE TEA,59.0,13.869141,100.49515
R_98711,Restaurant FG,BUBBLE TEA,43.0,13.784784,100.512959
R_98673,Restaurant FH,BUBBLE TEA,51.0,13.7465966,100.5393615
R_98672,Restaurant FI,BUBBLE TEA,41.0,13.77890708,100.5761134
R_98670,Restaurant FJ,BUBBLE TEA,33.0,13.728515,100.595885
R_98667,Restaurant FK,BUBBLE TEA,51.0,13.91565824,100.4964391
R_98645,Restaurant FL,BUBBLE TEA,49.0,13.857298,100.68386
R_98640,Restaurant FM,BUBBLE TEA,64.0,13.75536546,100.5689077
R_98624,Restaurant FN,BUBBLE TEA,46.0,13.753741,100.541209
R_98611,Restaurant FO,BUBBLE TEA,41.0,13.76299,100.49661
R_98593,Restaurant FP,BUBBLE TEA,43.0,13.723514,100.798693
R_98591,Restaurant FQ,BUBBLE TEA,51.0,13.701461,100.545897
R_98588,Restaurant FR,BUBBLE TEA,64.0,13.8181042,100.6555048
R_98586,Restaurant FS,BUBBLE TEA,46.0,13.808577,100.618045
R_98582,Restaurant FT,BUBBLE TEA,31.0,13.92169486,100.6684358
R_98581,Restaurant FU,BUBBLE TEA,68.0,13.98804653,100.6371533
R_98579,Restaurant FV,BUBBLE TEA,61.0,13.67834,100.62433
R_98572,Restaurant FW,BUBBLE TEA,45.0,13.759107,100.565337
R_98568,Restaurant FX,BUBBLE TEA,39.0,13.715819,100.445931
R_98565,Restaurant FY,BUBBLE TEA,44.0,13.772094,100.551906
R_98564,Restaurant FZ,BUBBLE TEA,44.0,13.735191,100.522318
R_98553,Restaurant GA,BUBBLE TEA,58.0,13.76552291,100.4726653
R_98529,Restaurant GB,BUBBLE TEA,53.0,13.73475573,100.5125345
R_98521,Restaurant GC,BUBBLE TEA,49.0,13.7658683,100.5427485
R_98517,Restaurant GD,BUBBLE TEA,51.0,13.7462517,100.501654
R_98508,Restaurant GE,BUBBLE TEA,49.0,13.9169,100.601163
R_98506,Restaurant GF,BUBBLE TEA,45.0,13.9976195,100.6617174
R_98504,Restaurant GG,BUBBLE TEA,62.0,13.740818,100.508451
R_98503,Restaurant GH,BUBBLE TEA,56.0,13.65395,100.645984
R_98463,Restaurant GI,BUBBLE TEA,36.0,13.6611355,100.4347345
R_98445,Restaurant GJ,BUBBLE TEA,47.0,13.68441743,100.7008706
R_98440,Restaurant GK,BUBBLE TEA,50.0,13.98831536,100.6183205
R_98433,Restaurant GL,BUBBLE TEA,35.0,13.63199864,100.6269953
R_98430,Restaurant GM,BUBBLE TEA,64.0,13.809409,100.567326
R_98407,Restaurant GN,BUBBLE TEA,60.0,13.724625,100.529276
R_98388,Restaurant GO,BUBBLE TEA,69.0,13.682016,100.504088
R_98385,Restaurant GP,BUBBLE TEA,30.0,14.0669995,100.6087167
R_98379,Restaurant GQ,BUBBLE TEA,32.0,13.80623947,100.6591441
R_98372,Restaurant GR,BUBBLE TEA,40.0,13.746605,100.351195
R_98370,Restaurant GS,BUBBLE TEA,32.0,13.84201706,100.594999
R_98366,Restaurant GT,BUBBLE TEA,34.0,13.71873004,100.5214958
R_98365,Restaurant GU,BUBBLE TEA,48.0,13.737347,100.583606
R_98363,Restaurant GV,BUBBLE TEA,67.0,13.81098102,100.6483599
R_98358,Restaurant GW,BUBBLE TEA,57.0,13.7229446,100.5307541
R_98357,Restaurant GX,BUBBLE TEA,40.0,13.61637398,100.6537299
R_98356,Restaurant GY,BUBBLE TEA,35.0,13.7912524,100.5492474
R_98354,Restaurant GZ,BUBBLE TEA,63.0,13.69526937,100.4577573
R_98351,Restaurant HA,BUBBLE TEA,58.0,13.92163748,100.650826
R_98350,Restaurant HB,BUBBLE TEA,53.0,13.753964,100.497905
R_98348,Restaurant HC,BUBBLE TEA,60.0,13.72035175,100.5577762
R_98344,Restaurant HD,BUBBLE TEA,57.0,13.806033,100.524014
R_98336,Restaurant HE,BUBBLE TEA,59.0,13.73115037,100.6551701
R_98321,Restaurant HF,BUBBLE TEA,45.0,13.7761498,100.5419377
R_98318,Restaurant HG,BUBBLE TEA,61.0,13.757057,100.565769
R_98309,Restaurant HH,BUBBLE TEA,56.0,13.728113,100.52484
R_98306,Restaurant HI,BUBBLE TEA,43.0,13.67109418,100.6849243
R_98298,Restaurant HJ,BUBBLE TEA,41.0,13.92170556,100.6758684
R_98287,Restaurant HK,BUBBLE TEA,45.0,13.742875,100.356392
R_98276,Restaurant HL,BUBBLE TEA,66.0,13.719834,100.7954913
R_98261,Restaurant HM,BUBBLE TEA,41.0,13.766141,100.608921
R_98259,Restaurant HN,BUBBLE TEA,57.0,13.767829,100.603458
R_98255,Restaurant HO,BUBBLE TEA,60.0,14.07862198,100.6039977
R_98239,Restaurant HP,BUBBLE TEA,66.0,13.59639746,100.741929
R_98236,Restaurant HQ,BUBBLE TEA,68.0,13.734391,100.649951
R_98221,Restaurant HR,BUBBLE TEA,35.0,13.8401751,100.5426293
R_98219,Restaurant HS,BUBBLE TEA,65.0,13.63204198,100.6268042
R_98213,Restaurant HT,BUBBLE TEA,36.0,13.751422,100.531085
R_98202,Restaurant HU,BUBBLE TEA,41.0,13.785395,100.46289
R_98197,Restaurant HV,BUBBLE TEA,36.0,13.66868239,100.4054785
R_98187,Restaurant HW,BUBBLE TEA,69.0,13.721647,100.516366
R_98184,Restaurant HX,BUBBLE TEA,67.0,13.719492,100.72746
R_98181,Restaurant HY,BUBBLE TEA,35.0,13.76617778,100.6418916
R_98180,Restaurant HZ,BUBBLE TEA,46.0,13.7615552,100.5682408
R_98178,Restaurant IA,BUBBLE TEA,40.0,13.7447143,100.5016542
R_98177,Restaurant IB,BUBBLE TEA,41.0,13.76380796,100.4670245
R_98160,Restaurant IC,BUBBLE TEA,69.0,13.767055,100.677852
R_98158,Restaurant ID,BUBBLE TEA,44.0,13.78972499,100.5698743
R_98157,Restaurant IE,BUBBLE TEA,69.0,13.872655,100.55426
R_98151,Restaurant IF,BUBBLE TEA,64.0,13.7421519,100.5251394
R_98139,Restaurant IG,BUBBLE TEA,49.0,13.72182025,100.5319337
R_98134,Restaurant IH,BUBBLE TEA,40.0,13.728919,100.509032
R_98122,Restaurant II,BUBBLE TEA,46.0,13.73179192,100.6500804
R_98115,Restaurant IJ,BUBBLE TEA,31.0,13.85767934,100.6103307
R_98111,Restaurant IK,BUBBLE TEA,31.0,13.788973,100.480136
R_98109,Restaurant IL,BUBBLE TEA,61.0,13.72574819,100.5256163
R_98107,Restaurant IM,BUBBLE TEA,40.0,13.658791,100.468908
R_98099,Restaurant IN,BUBBLE TEA,61.0,13.6354137,100.6321605
R_98095,Restaurant IO,BUBBLE TEA,49.0,13.75532052,100.5327454
R_98088,Restaurant IP,BUBBLE TEA,46.0,13.7119417,100.4333582
R_98069,Restaurant IQ,BUBBLE TEA,36.0,13.74231517,100.5618813
R_98068,Restaurant IR,BUBBLE TEA,38.0,13.79153,100.5783
R_98063,Restaurant IS,BUBBLE TEA,45.0,13.697621,100.510541
R_98061,Restaurant IT,BUBBLE TEA,34.0,13.722203,100.7421
R_98055,Restaurant IU,BUBBLE TEA,59.0,13.692663,100.516837
R_98053,Restaurant IV,BUBBLE TEA,61.0,13.730439,100.5341267
R_98037,Restaurant IW,BUBBLE TEA,63.0,13.764181,100.527534
R_98023,Restaurant IX,BUBBLE TEA,30.0,13.695637,100.408046
R_98022,Restaurant IY,BUBBLE TEA,46.0,13.752275,100.63573
R_98018,Restaurant IZ,BUBBLE TEA,39.0,13.844106,100.511954
R_98012,Restaurant JA,BUBBLE TEA,52.0,13.856985,100.541053
R_98003,Restaurant JB,BUBBLE TEA,33.0,13.86908636,100.4822403
R_98001,Restaurant JC,BUBBLE TEA,45.0,13.96108422,100.6270951
R_97999,Restaurant JD,BUBBLE TEA,59.0,13.773039,100.467412
R_97996,Restaurant JE,BUBBLE TEA,67.0,13.760721,100.536291
R_97993,Restaurant JF,BUBBLE TEA,57.0,13.7440097,100.5466081
R_97991,Restaurant JG,BUBBLE TEA,55.0,13.74066567,100.5236058
R_97988,Restaurant JH,BUBBLE TEA,30.0,13.791836,100.62437
R_97979,Restaurant JI,BUBBLE TEA,36.0,13.746839,100.53455
R_97975,Restaurant JJ,BUBBLE TEA,57.0,13.8978372,100.5984293
R_97973,Restaurant JK,BUBBLE TEA,49.0,13.72483831,100.5689308
R_97946,Restaurant JL,BUBBLE TEA,64.0,13.761797,100.568282
R_97927,Restaurant JM,BUBBLE TEA,66.0,13.738917,100.54793
R_97926,Restaurant JN,BUBBLE TEA,47.0,13.686417,100.66892
R_97921,Restaurant JO,BUBBLE TEA,32.0,13.69458904,100.6515881
R_97919,Restaurant JP,BUBBLE TEA,61.0,13.861294,100.618164
R_97913,Restaurant JQ,BUBBLE TEA,38.0,13.783725,100.54394
R_97908,Restaurant JR,BUBBLE TEA,59.0,13.78336113,100.5421463
R_97907,Restaurant JS,BUBBLE TEA,30.0,13.706072,100.4682098
R_97902,Restaurant JT,BUBBLE TEA,57.0,13.74563078,100.5317233
R_97901,Restaurant JU,BUBBLE TEA,57.0,13.611165,100.666916
R_97898,Restaurant JV,BUBBLE TEA,55.0,13.743246,100.524309
R_97895,Restaurant JW,BUBBLE TEA,40.0,13.8457877,100.4993327
R_97894,Restaurant JX,BUBBLE TEA,36.0,13.74678448,100.5349123
R_97887,Restaurant JY,BUBBLE TEA,68.0,13.65627255,100.6060453
R_97884,Restaurant JZ,BUBBLE TEA,36.0,13.746887,100.631422
R_97880,Restaurant KA,BUBBLE TEA,53.0,13.66709364,100.4285598
R_97867,Restaurant KB,BUBBLE TEA,43.0,13.76808573,100.5740652
R_97864,Restaurant KC,BUBBLE TEA,51.0,13.634768,100.631394
R_97860,Restaurant KD,BUBBLE TEA,37.0,13.63852397,100.5008986
R_97858,Restaurant KE,BUBBLE TEA,32.0,13.7589826,100.5670604
R_97855,Restaurant KF,BUBBLE TEA,35.0,13.697753,100.537212
R_97852,Restaurant KG,BUBBLE TEA,38.0,13.744417,100.530027
R_97845,Restaurant KH,BUBBLE TEA,57.0,13.927044,100.544747
R_97844,Restaurant KI,BUBBLE TEA,55.0,13.7201602,100.5598727
R_97838,Restaurant KJ,BUBBLE TEA,30.0,14.065041,100.6116866
R_97833,Restaurant KK,BUBBLE TEA,30.0,13.914182,100.587698
R_97825,Restaurant KL,BUBBLE TEA,49.0,13.71692411,100.5716319
R_97812,Restaurant KM,BUBBLE TEA,40.0,13.73299,100.530401
R_97795,Restaurant KN,BUBBLE TEA,65.0,13.766983,100.642224
R_97777,Restaurant KO,BUBBLE TEA,53.0,13.739308,100.563257
R_97770,Restaurant KP,BUBBLE TEA,62.0,13.803821,100.618181
R_97766,Restaurant KQ,BUBBLE TEA,63.0,13.802273,100.548964
R_97765,Restaurant KR,BUBBLE TEA,50.0,13.657604,100.637825
R_97748,Restaurant KS,BUBBLE TEA,41.0,13.693109,100.641206
R_97738,Restaurant KT,BUBBLE TEA,50.0,13.9125033,100.5212471
R_97731,Restaurant KU,BUBBLE TEA,55.0,13.817301,100.642855
R_97727,Restaurant KV,BUBBLE TEA,46.0,13.80574469,100.5622936
R_97724,Restaurant KW,BUBBLE TEA,63.0,13.83945276,100.5512195
R_97710,Restaurant KX,BUBBLE TEA,55.0,13.816064,100.560426
R_97709,Restaurant KY,BUBBLE TEA,63.0,13.6071993,100.7081639
R_97701,Restaurant KZ,BUBBLE TEA,62.0,13.779424,100.641513
R_97700,Restaurant LA,BUBBLE TEA,68.0,13.6491873,100.625749
R_97699,Restaurant LB,BUBBLE TEA,40.0,13.72632319,100.5365137
R_97698,Restaurant LC,BUBBLE TEA,35.0,13.707059,100.542773
R_97687,Restaurant LD,BUBBLE TEA,48.0,13.865589,100.482487
R_97686,Restaurant LE,BUBBLE TEA,53.0,13.748148,100.496601
R_97684,Restaurant LF,BUBBLE TEA,34.0,13.74257806,100.5401658
R_97676,Restaurant LG,BUBBLE TEA,58.0,13.7593176,100.512084
R_97663,Restaurant LH,BUBBLE TEA,53.0,13.782738,100.709719
R_97660,Restaurant LI,BUBBLE TEA,57.0,13.75319304,100.6092916
R_97653,Restaurant LJ,BUBBLE TEA,45.0,13.744669,100.533459
R_97652,Restaurant LK,BUBBLE TEA,60.0,13.73354,100.5813328
R_97649,Restaurant LL,BUBBLE TEA,49.0,13.86855078,100.5344234
R_97648,Restaurant LM,BUBBLE TEA,69.0,13.788472,100.454339
R_97640,Restaurant LN,BUBBLE TEA,52.0,13.78930335,100.5751044
R_97638,Restaurant LO,BUBBLE TEA,49.0,13.7707264,100.4942691
R_97636,Restaurant LP,BUBBLE TEA,69.0,13.65813997,100.600446
R_97631,Restaurant LQ,BUBBLE TEA,64.0,13.72259599,100.5275525
R_97630,Restaurant LR,BUBBLE TEA,50.0,13.73002153,100.533993
R_97622,Restaurant LS,BUBBLE TEA,44.0,13.79502203,100.7057116
R_97608,Restaurant LT,BUBBLE TEA,48.0,13.83974346,100.5742003
R_97606,Restaurant LU,BUBBLE TEA,65.0,13.80364078,100.7259281
R_97603,Restaurant LV,BUBBLE TEA,67.0,13.73652374,100.6315558
R_97582,Restaurant LW,BUBBLE TEA,66.0,13.797091,100.386446
R_97578,Restaurant LX,BUBBLE TEA,65.0,13.727037,100.585765
R_97576,Restaurant LY,BUBBLE TEA,62.0,13.665628,100.441783
R_97574,Restaurant LZ,BUBBLE TEA,43.0,14.07322221,100.601976
R_97549,Restaurant MA,BUBBLE TEA,43.0,13.713259,100.428636
R_97543,Restaurant MB,BUBBLE TEA,48.0,13.731881,100.522281
R_97530,Restaurant MC,BUBBLE TEA,38.0,13.707217,100.381172
R_97525,Restaurant MD,BUBBLE TEA,43.0,13.815733,100.598184
R_97523,Restaurant ME,BUBBLE TEA,31.0,13.803795,100.647232
R_97519,Restaurant MF,BUBBLE TEA,54.0,13.8969906,100.5525868
R_97510,Restaurant MG,BUBBLE TEA,43.0,13.91274549,100.4496622
R_97505,Restaurant MH,BUBBLE TEA,65.0,13.77826934,100.4862244
R_97497,Restaurant MI,BUBBLE TEA,56.0,13.72694,100.509996
R_97482,Restaurant MJ,BUBBLE TEA,66.0,13.61636238,100.6514438
R_97481,Restaurant MK,BUBBLE TEA,37.0,13.77369121,100.6122449
R_97462,Restaurant ML,BUBBLE TEA,56.0,13.69048,100.423811
R_97455,Restaurant MM,BUBBLE TEA,62.0,13.926792,100.587449
R_97453,Restaurant MN,BUBBLE TEA,58.0,13.828505,100.658309
R_97452,Restaurant MO,BUBBLE TEA,67.0,13.72430452,100.5488652
R_97450,Restaurant MP,BUBBLE TEA,46.0,13.84502134,100.5107147
R_97438,Restaurant MQ,BUBBLE TEA,38.0,13.72257,100.780361
R_97435,Restaurant MR,BUBBLE TEA,30.0,13.72714464,100.7702373
R_97420,Restaurant MS,BUBBLE TEA,37.0,13.825324,100.626915
R_97413,Restaurant MT,BUBBLE TEA,68.0,13.78917437,100.6080656
R_97401,Restaurant MU,BUBBLE TEA,47.0,13.767498,100.569079
R_97394,Restaurant MV,BUBBLE TEA,42.0,13.741048,100.467472
R_97385,Restaurant MW,BUBBLE TEA,31.0,13.776733,100.5426
R_97378,Restaurant MX,BUBBLE TEA,47.0,13.725252,100.509353
R_97372,Restaurant MY,BUBBLE TEA,60.0,13.72651311,100.4995169
R_97363,Restaurant MZ,BUBBLE TEA,51.0,13.67900201,100.6107759
R_97357,Restaurant NA,BUBBLE TEA,68.0,13.777301,100.443484
R_97356,Restaurant NB,BUBBLE TEA,34.0,13.7739372,100.6552362
R_97349,Restaurant NC,BUBBLE TEA,68.0,13.882781,100.600759
R_97348,Restaurant ND,BUBBLE TEA,64.0,13.677565,100.64181
